measurement,moment,fit_type,parameters,covariance,r2
RightFootLength,knee_r_flx_moment,Exponential,[6.07825827e-05 3.01637927e-01 2.37229353e-02],"[ 8.59540555e-08 -6.08187460e-05 -4.22007440e-06 -6.08187460e-05
  4.30678690e-02  2.97636018e-03 -4.22007440e-06  2.97636018e-03
  2.11018553e-04]",0.6297406782183819
RightFootLength,ankle_r_flx_moment,Exponential,[ 0.10549002  0.01996302 -0.11341132],"[ 3.46672298 -0.47460016 -3.67582541 -0.47460016  0.06498208  0.50320335
 -3.67582541  0.50320335  3.89760438]",0.43284469758246036
RightWalkingSpeed,hip_r_flx_moment,Exponential,[1.46859066e-12 3.87752271e+01 4.96765424e-02],"[ 1.88252937e-20 -2.32169032e-08 -1.56920366e-13 -2.32169032e-08
  2.86494685e+04  1.90228441e-01 -1.56920366e-13  1.90228441e-01
  4.56904995e-06]",0.006281514367001417
RightWalkingSpeed,hip_r_add_moment,Exponential,[ 3.70753689  0.00473394 -3.69669378],"[ 3.09781693e+08 -3.98765438e+05 -3.09782319e+08 -3.98765438e+05
  5.13309482e+02  3.98766243e+05 -3.09782319e+08  3.98766243e+05
  3.09782944e+08]",0.035899639117646265
RightWalkingSpeed,hip_r_int_moment,Exponential,[ 5.36340074e+00  4.99627918e-03 -5.34131652e+00],"[ 5.33207683e+08 -5.00813680e+05 -5.33208886e+08 -5.00813680e+05
  4.70387732e+02  5.00814810e+05 -5.33208886e+08  5.00814810e+05
  5.33210088e+08]",0.03892603156663843
RightWalkingSpeed,knee_r_flx_moment,Exponential,[-1.92270875e+01 -1.45235483e-03  1.92536971e+01],"[ 5.47755833e+10 -4.15699327e+06 -5.47755929e+10 -4.15699327e+06
  3.15479857e+02  4.15699400e+06 -5.47755929e+10  4.15699400e+06
  5.47756026e+10]",0.04034400321487375
RightWalkingSpeed,ankle_r_flx_moment,Exponential,[-2.02165341e+01 -1.48943322e-03  2.02411443e+01],"[ 1.07436152e+10 -7.92035873e+05 -1.07436174e+10 -7.92035873e+05
  5.83901055e+01  7.92036032e+05 -1.07436174e+10  7.92036032e+05
  1.07436196e+10]",0.14866462010154513
RightLegLength,hip_r_flx_moment,Exponential,[-2.39128395e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-5.0451573802406064e+60
RightLegLength,hip_r_add_moment,Exponential,[-2.39128395e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-9.938781143155256e+60
RightLegLength,hip_r_int_moment,Exponential,[-2.39128395e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-4.622199980350231e+60
RightLegLength,knee_r_flx_moment,Exponential,[-2.39128395e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-4.434901169301037e+60
RightLegLength,ankle_r_flx_moment,Exponential,[-2.39128395e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-1.4058324339646393e+61
Mass*TotalLength,hip_r_flx_moment,Exponential,[-1.85168683e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-3.153479479541155e+61
Mass*TotalLength,hip_r_add_moment,Exponential,[-1.85168683e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-5.287994079235639e+61
Mass*TotalLength,hip_r_int_moment,Exponential,[-1.85168683e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-2.3709073785518326e+61
Mass*TotalLength,knee_r_flx_moment,Exponential,[-1.85168683e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-2.2365247738984184e+61
Mass*TotalLength,ankle_r_flx_moment,Exponential,[-1.85168683e-13  1.00000000e+00  1.00000000e+00],[inf inf inf inf inf inf inf inf inf],-7.555007976998067e+61
Mass*RightTibiaLength,hip_r_flx_moment,Exponential,[ 3.46616707e+01  4.47155477e-05 -3.46325978e+01],"[ 1.42437654e+10 -1.83612635e+04 -1.42437692e+10 -1.83612635e+04
  2.36690222e-02  1.83612684e+04 -1.42437692e+10  1.83612684e+04
  1.42437730e+10]",0.23933121102646593
Mass*RightTibiaLength,hip_r_add_moment,Exponential,[5.28952785e-07 4.49306825e-01 1.73177864e-02],"[ 4.23406148e-11 -3.51620143e-06 -6.52342579e-09 -3.51620143e-06
  2.92139152e-01  5.38177618e-04 -6.52342579e-09  5.38177618e-04
  2.01672645e-06]",0.3097094954270484
Mass*RightTibiaLength,hip_r_int_moment,Exponential,[-1.04668479e+01  6.66803606e-05  1.05101727e+01],"[ 5.26484323e+09  3.35025052e+04 -5.26484632e+09  3.35025052e+04
  2.13191128e-01 -3.35025249e+04 -5.26484632e+09 -3.35025249e+04
  5.26484942e+09]",0.044499776328429275
Mass*RightTibiaLength,knee_r_flx_moment,Exponential,[ 1.02372446e+02  3.16908253e-05 -1.02377481e+02],"[ 3.46592774e+09 -1.07235221e+03 -3.46592818e+09 -1.07235221e+03
  3.31783969e-04  1.07235234e+03 -3.46592818e+09  1.07235234e+03
  3.46592863e+09]",0.9212531918776968
Mass*RightTibiaLength,ankle_r_flx_moment,Exponential,[ 2.91032639e+01  4.75516507e-05 -2.90841586e+01],"[ 2.54577282e+09 -4.15440384e+03 -2.54577356e+09 -4.15440384e+03
  6.77950180e-03  4.15440506e+03 -2.54577356e+09  4.15440506e+03
  2.54577431e+09]",0.5316701888521784
Mass*Speed,hip_r_flx_moment,Exponential,[-3.83231549e+01 -2.82317216e-03  3.83585083e+01],"[ 3.33674480e+10 -2.45919467e+06 -3.33674513e+10 -2.45919467e+06
  1.81243663e+02  2.45919491e+06 -3.33674513e+10  2.45919491e+06
  3.33674546e+10]",0.13085322653739206
Mass*Speed,hip_r_add_moment,Exponential,[-3.43413022e+01 -2.94680697e-03  3.43461173e+01],"[ 1.05305418e+10 -9.04035225e+05 -1.05305428e+10 -9.04035225e+05
  7.76104131e+01  9.04035314e+05 -1.05305428e+10  9.04035314e+05
  1.05305439e+10]",0.2254981512490315
Mass*Speed,hip_r_int_moment,Exponential,[ 1.85388643e+01 -5.07751239e-05 -1.85048615e+01],"[ 3.56158909e+10  9.75432341e+04 -3.56158907e+10  9.75432341e+04
  2.67155992e-01 -9.75432335e+04 -3.56158907e+10 -9.75432335e+04
  3.56158905e+10]",9.026391929012334e-06
Mass*Speed,knee_r_flx_moment,Exponential,[-1.11603526e+02 -2.08443354e-03  1.11610794e+02],"[ 4.21405517e+10 -7.87307524e+05 -4.21405536e+10 -7.87307524e+05
  1.47091843e+01  7.87307560e+05 -4.21405536e+10  7.87307560e+05
  4.21405555e+10]",0.5318841343386184
Mass*Speed,ankle_r_flx_moment,Exponential,[-4.83223687e+01 -2.74260398e-03  4.83422008e+01],"[ 8.16478133e+09 -4.63928431e+05 -8.16478204e+09 -4.63928431e+05
  2.63607294e+01  4.63928472e+05 -8.16478204e+09  4.63928472e+05
  8.16478276e+09]",0.5470920783767632
