Subject,Mass,TotalLength,RightTibiaLength,RightFemurLength,RightFootLength,RightWalkingSpeed,hip_r_flx_moment,hip_r_add_moment,hip_r_int_moment,knee_r_flx_moment,ankle_r_flx_moment
BAA17,0.310999989509583,0,41.5,37,17,0.485713933904966,-0.0593471084860574,-0.0222456811774082,-0.0275030037748015,-0.0373505928540938,-0.0434054343248989
BAA18,0.348399996757507,195,42,37,17,0.434160177906354,-0.053840140517728,-0.0317099696693626,-0.039208627345587,0.0474134266034654,-0.0373969223008908
BAA19,0.314999997615814,195,41,33.5,17,0.436795751253764,-0.0492534883037072,-0.0182223405589583,-0.0326577631125354,0.0385654368109724,-0.0390630917931956
BAA20,0.330399990081787,200,46.5,37,18,0.540168101588885,-0.0582675949738524,-0.0185407259547548,-0.0287849814079703,0.0521123079706069,-0.0474667876437038
BAA21,0.304899990558624,195,44,35,18.5,0.433467398087184,-0.0530105160405162,-0.0172407652627868,-0.0215251849873613,-0.0368125147789058,-0.0408438499144172
BAA22,0.291000008583069,190,45,37,18,0.498650327324867,-0.0472710924713742,-0.011194857983683,-0.0320648855929454,0.0399609251799293,-0.0417569744191233
BAA23,0.297699987888336,190,44.5,36.5,18,0.384801814953486,-0.0470348153258698,-0.00975637957439097,-0.035631083538906,0.0391351837154168,-0.0339404615105955
BAA24,0.3057000041008,195,41.5,34,17.25,0.456575339039167,-0.037734717130611,-0.0155594622226136,-0.0266060390641007,0.0364827349651516,-0.0336687447888527
BAA25,0.311800003051758,197,43.5,35,17.7999992370605,0.478155856331189,-0.0478478317742329,-0.0121374634705516,-0.0336847114919911,0.03427541709636,-0.0397271896314509
BAA26,0.287999987602234,195,43,34.5,18,0.509640857577324,-0.0443581464601459,-0.018462814485083,-0.0329792433258556,-0.0362696771164367,-0.039462285211558
BAA27,0.277599990367889,193,41,33.5,17.5,0.385665943225225,-0.0634982429977456,-0.0181136110647167,-0.0247465081628425,0.0323280095961515,-0.040566201986341
BAA28,0.296000003814697,193,43.5,34.5,18,0.367140839497248,-0.0472123726793428,-0.0150346040550485,-0.02502860039879,-0.0363908805430421,-0.0345482552230044
BAA29,0.284000009298325,190,42,37,18,0.555981330573559,-0.0499942513036963,-0.00925539128168219,-0.0452667303595295,0.0371360827301365,-0.0362173220198653
BAA30,0.272799998521805,195,42,33.5,17.5,0.439385697245598,-0.0450866878400428,-0.0231495643582057,-0.0280013599969951,0.0322832579631105,-0.038295553569425
BAA31,0.308699995279312,190,44,37.5,18.5,0.342104395230611,-0.0514696027184025,-0.0157521173171846,-0.0318534396810231,-0.0405648704989542,-0.0352600989425345
BAA32,0.307000011205673,193,44,36.5,18,0.278559282422066,-0.049851372731301,-0.0100017925954289,-0.0306498066201055,-0.0345187776298216,-0.0347321860318069
Old01,0.416900008916855,220,51.2999992370606,43,22,0.540031325817108,-0.0584868849267754,-0.0248652693922925,-0.0232643128811016,-0.0612082618594341,-0.0480562228877253
Old02,0.436199992895126,220,52.2999992370606,42,21,0.522772789001465,-0.0680109271714803,-0.0357875583841562,-0.0368162925800023,-0.0720126160982422,-0.0528377990688244
Old03,0.439099997282028,221,52,44,21.2000007629395,0.320223897695541,-0.0571230738890778,-0.0290500771742446,-0.0259361914646909,-0.0646064965164937,-0.0462621462762819
