measurement,moment,fit_type,parameters,covariance,r2
RightLegLength,hip_r_int_moment,Linear,[-0.00049601  0.07321577],[ 8.63708076e-08 -6.85043883e-06 -6.85043883e-06  5.45887280e-04],0.0794600182730878
RightLegLength,knee_r_flx_moment,Linear,[ 0.00162817 -0.09025855],[ 1.74577888e-08 -1.38465205e-06 -1.38465205e-06  1.10338034e-04],0.8214745407268085
RightLegLength,ankle_r_flx_moment,Linear,[ 0.00070649 -0.01819522],[ 1.57238149e-08 -1.24712315e-06 -1.24712315e-06  9.93788418e-05],0.49029553915008117
Mass*TotalLength,hip_r_flx_moment,Linear,[0.0004015 0.026006 ],[ 1.16379954e-08 -7.02250094e-07 -7.02250094e-07  4.40561500e-05],0.3158668572483002
Mass*TotalLength,hip_r_add_moment,Linear,[0.00030463 0.00036359],[ 7.05122293e-09 -4.25479008e-07 -4.25479008e-07  2.66927272e-05],0.30493082617227374
Mass*TotalLength,hip_r_int_moment,Linear,[-0.00019722  0.04613914],[ 2.13296877e-08 -1.28705802e-06 -1.28705802e-06  8.07444845e-05],0.057304319647656476
Mass*TotalLength,knee_r_flx_moment,Linear,[ 0.00081265 -0.01015685],[ 1.97240625e-09 -1.19017274e-07 -1.19017274e-07  7.46663176e-06],0.9177676901027587
Mass*TotalLength,ankle_r_flx_moment,Linear,[0.00035712 0.0161744 ],[ 2.84938607e-09 -1.71935247e-07 -1.71935247e-07  1.07864777e-05],0.5987096934042186
Mass*RightTibiaLength,hip_r_flx_moment,Linear,[0.00155125 0.02906187],[ 2.31743885e-07 -3.13609390e-06 -3.13609390e-06  4.43696239e-05],0.2393460802162619
Mass*RightTibiaLength,hip_r_add_moment,Linear,[0.00111302 0.00350312],[ 1.17114908e-07 -1.58486750e-06 -1.58486750e-06  2.24227902e-05],0.24273231515238525
Mass*RightTibiaLength,hip_r_int_moment,Linear,[-0.00069886  0.04333214],[ 3.17742533e-07 -4.29987796e-06 -4.29987796e-06  6.08349031e-05],0.044505499245792834
Mass*RightTibiaLength,knee_r_flx_moment,Linear,[ 0.00324605 -0.00504918],[ 2.72889447e-08 -3.69289983e-07 -3.69289983e-07  5.22473447e-06],0.9212637537889519
Mass*RightTibiaLength,ankle_r_flx_moment,Linear,[0.00138505 0.01909616],[ 5.12034250e-08 -6.92914722e-07 -6.92914722e-07  9.80339450e-06],0.5316865202326202
Mass*Speed,hip_r_flx_moment,Linear,[0.1081531  0.03535606],[ 2.35415034e-03 -3.19932778e-04 -3.19932778e-04  4.56848151e-05],0.13086330143867164
Mass*Speed,hip_r_add_moment,Linear,[0.10115378 0.00481817],[ 1.06488931e-03 -1.44720152e-04 -1.44720152e-04  2.06653205e-05],0.2255083371351656
Mass*Speed,hip_r_int_moment,Linear,[-0.00093851  0.03400236],[ 2.95644296e-03 -4.01785365e-04 -4.01785365e-04  5.73729585e-05],9.02787184431375e-06
Mass*Speed,knee_r_flx_moment,Linear,[0.23256386 0.00727244],[ 1.44235236e-03 -1.96017983e-04 -1.96017983e-04  2.79903967e-05],0.5319044614607675
Mass*Speed,ankle_r_flx_moment,Linear,[0.13247517 0.0198359 ],[ 4.40238837e-04 -5.98291584e-05 -5.98291584e-05  8.54330728e-06],0.5471013034549361
