measurement,moment,fit_type,parameters,covariance,r2
RightFootLength,hip_r_add_moment,Power,[8.51579974e-14 8.39026730e+00 1.50936081e-02],"[ 9.28429937e-24 -3.50469109e-11 -2.11706426e-14 -3.50469109e-11
  1.32309881e+02  7.97858468e-02 -2.11706426e-14  7.97858468e-02
  5.06650029e-05]",0.20155902093512645
RightFootLength,hip_r_int_moment,Power,[-1.62975767e+01  2.43576047e-03  1.64465974e+01],"[ 7.42144533e+09  1.10371057e+06 -7.42163502e+09  1.10371057e+06
  1.64142831e+02 -1.10373878e+06 -7.42163502e+09 -1.10373878e+06
  7.42182472e+09]",0.06547584342370916
RightFootLength,knee_r_flx_moment,Power,[1.51030454e-11 7.04341876e+00 2.70464869e-02],"[ 3.77086427e-20 -7.96756498e-10 -1.89168378e-12 -7.96756498e-10
  1.68367477e+01  3.99055907e-02 -1.89168378e-12  3.99055907e-02
  9.82221019e-05]",0.6322344600277645
RightFootLength,ankle_r_flx_moment,Power,[ 6.21386470e-04  1.42357489e+00 -3.63600575e-04],"[ 1.21664866e-04 -5.34035010e-02 -1.55449785e-03 -5.34035010e-02
  2.34439602e+01  6.81991534e-01 -1.55449785e-03  6.81991534e-01
  1.98996737e-02]",0.43287690542684143
RightWalkingSpeed,hip_r_flx_moment,Power,[5.55231119e+02 2.04576876e+01 4.96758819e-02],"[8.73221007e+08 2.62670676e+06 2.95015150e+01 2.62670676e+06
 7.91460309e+03 9.19238643e-02 2.95015150e+01 9.19238643e-02
 4.35791974e-06]",0.006442941040748051
RightWalkingSpeed,hip_r_add_moment,Power,[-0.00357832 -0.90888067  0.02630785],"[ 3.87308781e-03 -5.30446766e-01 -4.81904063e-03 -5.30446766e-01
  7.28450187e+01  6.58685859e-01 -4.81904063e-03  6.58685859e-01
  6.00611720e-03]",0.03708940714041353
RightWalkingSpeed,hip_r_int_moment,Power,[ 5.63072481e+00  2.01952316e-03 -5.58735330e+00],"[ 5.35214562e+08 -1.94897939e+05 -5.35215409e+08 -1.94897939e+05
  7.09719259e+01  1.94898247e+05 -5.35215409e+08  1.94898247e+05
  5.35216256e+08]",0.04016802532747932
RightWalkingSpeed,knee_r_flx_moment,Power,[ 6.01962274 10.69164533  0.03655989],"[2.65601056e+03 7.28110861e+02 1.12489519e-01 7.28110861e+02
 2.00487219e+02 3.22176859e-02 1.12489519e-01 3.22176859e-02
 9.63110998e-06]",0.08806888973159088
RightWalkingSpeed,ankle_r_flx_moment,Power,[0.19398478 5.28725821 0.03461631],"[4.22782138e-01 3.79239193e+00 1.84660317e-03 3.79239193e+00
 3.44645973e+01 1.76110166e-02 1.84660317e-03 1.76110166e-02
 1.12934178e-05]",0.1761086560145395
RightLegLength,hip_r_flx_moment,Power,[ 4.14764392e+01  1.83105937e-03 -4.17596949e+01],"[ 2.68440107e+10 -1.17558294e+06 -2.68448819e+10 -1.17558294e+06
  5.14824431e+01  1.17562109e+06 -2.68448819e+10  1.17562109e+06
  2.68457531e+10]",0.29449185493059515
RightLegLength,hip_r_add_moment,Power,[6.46593370e-46 2.18766875e+01 1.73734540e-02],"[ 6.99140834e-87 -2.35397500e-42 -8.85172144e-47 -2.35397500e-42
  7.92576874e+02  2.97799699e-02 -8.85172144e-47  2.97799699e-02
  2.23279041e-06]",0.25771402271089994
RightLegLength,hip_r_int_moment,Power,[-1.65504568e+01  2.54946979e-03  1.67698074e+01],"[ 4.90260962e+09  7.48055403e+05 -4.90292061e+09  7.48055403e+05
  1.14140619e+02 -7.48102854e+05 -4.90292061e+09 -7.48102854e+05
  4.90323161e+09]",0.08381852955341496
RightLegLength,knee_r_flx_moment,Power,[1.34800098e-09 3.85143895e+00 1.02458473e-02],"[ 1.70394836e-16 -2.67653127e-08 -2.44501610e-10 -2.67653127e-08
  4.20452783e+00  3.83705457e-02 -2.44501610e-10  3.83705457e-02
  3.55775434e-04]",0.8337403951027798
RightLegLength,ankle_r_flx_moment,Power,[ 8.32634187e-04  9.69838253e-01 -2.00353102e-02],"[ 3.57254818e-04 -7.84526684e-02 -4.93874858e-03 -7.84526684e-02
  1.72291870e+01  1.08426669e+00 -4.93874858e-03  1.08426669e+00
  6.83443804e-02]",0.4902964208188382
Mass*TotalLength,hip_r_flx_moment,Power,[ 4.61460952e+01  6.42154347e-04 -4.62170404e+01],"[ 2.06243050e+10 -2.86223539e+05 -2.06243808e+10 -2.86223539e+05
  3.97220245e+00  2.86224591e+05 -2.06243808e+10  2.86224591e+05
  2.06244565e+10]",0.34824258442325207
Mass*TotalLength,hip_r_add_moment,Power,[8.39582378e-11 4.16668452e+00 1.57547699e-02],"[ 3.72772359e-18 -9.64732546e-09 -9.50184068e-12 -9.64732546e-09
  2.49704993e+01  2.45486276e-02 -9.50184068e-12  2.45486276e-02
  2.57752351e-05]",0.3301235141671799
Mass*TotalLength,hip_r_int_moment,Power,[-1.32711268e+01  1.10351539e-03  1.33653095e+01],"[ 4.85380377e+09  4.01726022e+05 -4.85385634e+09  4.01726022e+05
  3.32489338e+01 -4.01730374e+05 -4.85385634e+09 -4.01730374e+05
  4.85390892e+09]",0.06420857751552522
Mass*TotalLength,knee_r_flx_moment,Power,[ 0.0365801   0.35224462 -0.11557761],"[ 0.01801107 -0.0694495  -0.03212648 -0.0694495   0.267851    0.12384081
 -0.03212648  0.12384081  0.05732782]",0.9218024672783021
Mass*TotalLength,ankle_r_flx_moment,Power,[ 2.95838394e+01  8.63069495e-04 -2.96505751e+01],"[ 1.80734347e+09 -5.25347824e+04 -1.80735548e+09 -5.25347824e+04
  1.52704975e+00  5.25351317e+04 -1.80735548e+09  5.25351317e+04
  1.80736750e+09]",0.6205727173231401
Mass*RightTibiaLength,hip_r_flx_moment,Power,[ 3.44222521e+01  7.59095854e-04 -3.44398711e+01],"[ 8.64212144e+09 -1.90182320e+05 -8.64214013e+09 -1.90182320e+05
  4.18523573e+00  1.90182732e+05 -8.64214013e+09  1.90182732e+05
  8.64215882e+09]",0.2591664800740189
Mass*RightTibiaLength,hip_r_add_moment,Power,[5.53064237e-15 9.14982899e+00 1.74008278e-02],"[ 3.78155171e-26 -2.18898826e-12 -1.16404166e-16 -2.18898826e-12
  1.26718863e+02  6.71260831e-03 -1.16404166e-16  6.71260831e-03
  1.36656675e-06]",0.30992622207270637
Mass*RightTibiaLength,hip_r_int_moment,Power,[-7.97419103e+00  1.48724275e-03  8.03881006e+00],"[ 1.22223596e+09  2.27024655e+05 -1.22224613e+09  2.27024655e+05
  4.21687771e+01 -2.27026544e+05 -1.22224613e+09 -2.27026544e+05
  1.22225630e+09]",0.04910890423223768
Mass*RightTibiaLength,knee_r_flx_moment,Power,[ 1.32152348  0.03626498 -1.4126757 ],"[ 2.60685386e+02 -6.50835420e+00 -2.61905900e+02 -6.50835420e+00
  1.62492107e-01  6.53881668e+00 -2.61905900e+02  6.53881668e+00
  2.63132163e+02]",0.9323171689498019
Mass*RightTibiaLength,ankle_r_flx_moment,Power,[ 2.53792300e+01  8.96752914e-04 -2.54003437e+01],"[ 1.32494154e+09 -4.67006627e+04 -1.32494552e+09 -4.67006627e+04
  1.64607407e+00  4.67008028e+04 -1.32494552e+09  4.67008028e+04
  1.32494949e+09]",0.5482326091391296
Mass*Speed,hip_r_flx_moment,Power,[6.96157774 4.04448716 0.04705234],"[1.56247997e+03 1.53251352e+02 1.56891052e-01 1.53251352e+02
 1.51059123e+01 1.57916628e-02 1.56891052e-01 1.57916628e-02
 2.01183480e-05]",0.1648439221787027
Mass*Speed,hip_r_add_moment,Power,[1.14627866 2.885982   0.01441748],"[1.38616204e+01 8.48672481e+00 1.56776843e-02 8.48672481e+00
 5.24372445e+00 9.96918514e-03 1.56776843e-02 9.96918514e-03
 2.16096498e-05]",0.24531859321644978
Mass*Speed,hip_r_int_moment,Power,[-4.58105168e+03  9.46835266e+00  3.41226410e-02],"[ 3.72673728e+11 -5.56145328e+07  9.51723637e+02 -5.56145328e+07
  8.30129670e+03 -1.42747321e-01  9.51723637e+02 -1.42747321e-01
  5.54197826e-06]",0.007548794518595803
Mass*Speed,knee_r_flx_moment,Power,[5.13694527 3.34195077 0.03090853],"[7.61826612e+01 1.02717737e+01 3.27207177e-02 1.02717737e+01
 1.39501201e+00 4.55958801e-03 3.27207177e-02 4.55958801e-03
 1.74163751e-05]",0.6000870707061109
Mass*Speed,ankle_r_flx_moment,Power,[0.27937374 1.66666229 0.02752632],"[1.10900624e-01 3.12819756e-01 2.15805339e-03 3.12819756e-01
 8.98234853e-01 6.40418990e-03 2.15805339e-03 6.40418990e-03
 4.87463719e-05]",0.5547265607925063
